"","Criterion","K","N","Design"
"1","D","2","8","1 -1 1 -1 1 -1 0 0 1 1 -0.1 -1 -1 -0.1 -1 0.2"
"2","D","2","9","-1 0 1 0 1 -1 1 0 -1 0 -1 -1 1 1 -1 0 0 1"
"3","D","2","10","-1 -1 1 0 -1 0.1 -1 1 1 0 1 -1 -1 -1 1 1 -0.1 0 1 0.00664256810444108"
"4","Robust D","2","8","1 1 -1 -1 0.8 -1 0.4 0.2 -1 1 0 1 0.1 -1 0.9 -1"
"5","Robust D","2","9","-1 1 1 1 0.2 0 -0.2 -1 -1 0.2 -0.2 1 -1 1 0 -1 -1 1"
"6","Robust D","2","10","-1 1 1 0 -1 0.1 -1 1 0.23168274907868 -1 -1 -1 1 -1 1 0 -0.2 0 1 1"
"7","A","2","8","0 -1 -0.6 1 0.1 1 -1 1 -0.8 0.2 1 -1 0 1 -1 0"
"8","A","2","9","-1 1 -1 -1 0 1 1 0 0 -1 0 1 0 0 1 -1 -1 1"
"9","A","2","10","-1 1 1 -1 0 0 1 0 -1 0 -1 -1 0 1 0 1 1 -1 0 0"
"10","Robust A","2","8","-1 -0.7 0.4 1 -0.3 0.4 -0.8 1 -1 1 1 0.5 -1 0.2 0.2 -0.9"
"11","Robust A","2","9","-0.9 1 0 0.9 -1 0.2 -1 0 1 -1 -0.1 0 1 -0.2 -1 0.9 1 -1"
"12","Robust A","2","10","0 1 1 1 0.3 -1 -0.3 -1 0 -1 0 1 -1 0.2 -1 -1 -1 0.2 1 1"
