"","Criterion","K","N","Design"
"1","EXACT-D","3","11","-0.0187 1 1 0.0583 0.0583 -1 -1 -1 -1 -1 1 1 1 1 1 -0.0187 1 0.0583 -1 0.0583 -1 -1 1 1 -1 1 -1 1 1 1 -0.0187 -1 0.0583 0.0583 -1 1 -1 1 -1 -1 1 1"
"2","EXACT-D","3","12","-0.076 -0.0273 -1 1 1 0.073 0.1205 -1 -1 -1 -1 1 1 1 1 -1 -1 -0.0905 0.0305 -1 1 1 -1 -1 1 1 -1 1 -1 1 1 -1 -0.0282 -1 0.0193 -0.0417 1 -1 1 -1 1 -1 -1 1 1"
"3","EXACT-D","3","13","0.0513 1 0.029 -1 -0.0819 1 1 -1 -1 -1 -1 -1 1 1 1 1 1 1 1 1 -0.0258 -0.0258 -0.0258 -0.0426 -1 -1 1 1 -1 1 -1 1 -1 -0.0513 1 -0.029 -1 -1 0.0819 1 -1 1 -1 1 -1 -1 1 1"
"4","CEXCH-D","3","11","0 -1 1 1 1 1 1 -1 -1 0 -1 0 0 -1 0 -1 1 1 -1 -1 0 -1 1 0 1 -1 1 0 -1 -1 -1 1 -1 1 0 1 -1 1 1 0 0 0"
"5","CEXCH-D","3","12","-1 -1 -1 -1 1 -1 1 0 0 0 1 -1 1 0 1 -1 1 -1 -1 1 1 -1 1 0 0 -1 0 0 -1 1 -1 1 -1 1 -1 -1 1 0 -1 1 -1 0 0 0 1"
"6","CEXCH-D","3","13","0.2 -1 1 1 -1 -1 1 0.3 -1 1 -0.1 -1 -1 1 0 1 -1 0.2 -1 1 -1 -0.1 -1 0.7 -1 1 -1 1 1 -1 1 0.2 -1 -1 -1 1 1 1 1 1 -1 -1 0.1 -0.1 1 1 -1 0"
"7","EXACT-A","3","11","-1 1 0 0 0 0 -1 -1 -1 -1 1 1 1 1 0 0 -1 1 0 0 -1 -1 1 1 -1 1 -1 1 0 0 0 0 -1 1 -1 1 -1 1 -1 -1 1 1"
"8","EXACT-A","3","12","-1 1 0 0 0 0 0 -1 -1 -1 -1 1 1 1 1 0 0 -1 1 0 0 0 -1 -1 1 1 -1 1 -1 1 0 0 0 0 -1 -1 0 -1 1 -1 1 -1 -1 1 1"
"9","EXACT-A","3","13","-1 1 0 0 0 0 0 1 -1 -1 -1 -1 1 1 1 1 0 0 -1 1 0 0 -1 0 -1 -1 1 1 -1 1 -1 1 0 0 0 0 -1 -1 0 0 -1 1 -1 1 -1 -1 1 1"
"10","CEXCH-A","3","11","1 -1 1 -1 -1 -1 0 1 0 0 1 0 1 -1 -1 1 0 0 1 -1 0 1 0 1 -1 -1 1 -1 1 -1 0 0 1 -1 -1 -1 1 0 -1 0 1 1"
"11","CEXCH-A","3","12","-1 0 -1 -1 1 0 1 -1 0 0 1 1 1 0 -1 -1 1 1 0 0 0 -1 1 0 -1 1 1 -1 0 -1 -1 0 -1 0 0 0 -1 1 -1 0 1 -1 1 1 1"
"12","CEXCH-A","3","13","-1 -1 1 -1 -1 1 1 0 0 0 -1 0.1 0 1 -1 1 -1 -1 -1 1 0 -1 0 1 -1 0 0 0 0 1 1 1 1 -1 1 1 0 -1 0 0 0 1 -1 0.1 -1 -1 -1 1"
"13","EXACT-I","3","11","-0.0852 -0.5653 -1 -1 0.3061 1 1 -1 1 1 -0.0174 0.0524 -0.024 -0.024 1 -1 -0.1528 -1 -1 -1 0.8613 0.9168 1 -0.1531 1 -0.0482 0.0628 0.0628 1 -1 1 0.0475 1 -0.7339 1 -1 -1 0.1993 0.0152 -1 -0.0056 -0.0056"
"14","EXACT-I","3","12","-1 1 0 0 0 0 0 -1 -1 -1 -1 1 1 1 1 0 0 -1 1 0 0 0 -1 -1 1 1 -1 1 -1 1 0 0 0 0 -1 -1 0 -1 1 -1 1 -1 -1 1 1"
"15","EXACT-I","3","13","-1 1 0 0 0 0 0 0 -1 -1 -1 -1 1 1 1 1 0 0 -1 1 0 0 0 0 -1 -1 1 1 -1 1 -1 1 0 0 0 0 -1 -1 0 0 -1 1 -1 1 -1 -1 1 1"
"16","CEXCH-I","3","11","-1 1 -1 -1 -1 1 -1 0 0 0.9 0 1 1 0 -1 1 1 1 0 -1 -1 1 -0.9 0 0 -1 1 -0.1 -0.9 -0.9 -1 0.7 0 -1 1 0 0 0 -1 0.9 1 1"
"17","CEXCH-I","3","12","-1 -1 1 1 0 1 0 -1 -1 0 1 1 0 -1 0 1 0 -1 1 0 -1 0 -1 -1 0 1 0 1 1 -1 -1 0 1 -1 1 -1 0 1 -1 -1 1 0 0 1 0"
"18","CEXCH-I","3","13","-1 -1 1 -0.1 0 -1 -1 1 1 -1 1 1 0 0.1 0 0 -1 1 1 0 0 -1 1 -1 -1 0 1 0 -1 0 0 1 -1 -1 -1 -0.1 1 1 1 1 -1 0 1 0 0 0.1 -1 0"
