"","Criterion","K","N","Design"
"1","D","5","7","-1 -1 -1 1 1 -1 -1 -1 -1 1 -1 1 1 -1 1 -1 1 1 -1 -1 1 1 1 1 1 -1 1 -1 -1 1 1 1 -1 -1 1"
"2","D","5","8","1 -1 -1 -1 1 1 -1 1 1 -1 1 -1 1 -1 1 -1 -1 -1 1 -1 -1 1 1 1 1 1 -1 -1 -1 1 1 -1 1 -1 1 1 -1 1 -1 -1"
"3","D","5","9","-1 -1 -1 1 1 -1 -1 1 1 -1 -1 1 -1 1 -1 1 -1 1 -1 -1 1 1 -1 -1 1 1 -1 -1 -1 1 1 1 1 -1 -1 -1 -1 -1 -1 1 -1 1 1 -1 1"
"4","D","5","10","-1 -1 -1 1 -1 1 -1 1 1 1 -1 1 1 -1 1 -1 -1 1 1 -1 1 -1 1 -1 -1 1 -1 -1 1 1 1 1 -1 1 1 -1 -1 -1 1 -1 -1 1 -1 -1 1 1 -1 -1 -1 1"
"5","D","5","11","1 -1 -1 1 -1 1 1 1 1 -1 -1 1 1 -1 -1 -1 -1 -1 1 1 -1 1 1 -1 -1 -1 1 1 -1 -1 1 1 1 1 1 -1 -1 1 -1 1 1 -1 1 -1 -1 -1 -1 1 1 -1 -1 1 1 1 -1"
"6","Robust D","5","7","-1 1 -1 1 1 1 -1 -0.7 1 -0.4 -1 -1 1 -0.1 -1 -1 0 1 -1 1 1 -1 1 1 1 -1 -1 -1 -1 1 0 -1 1 -1 1"
"7","Robust D","5","8","-1 1 1 -1 -1 1 -1 1 1 1 -1 1 -1 1 -1 -1 -1 1 1 1 1 -1 -1 -1 -1 1 -1 1 -1 -1 1 1 1 1 1 -1 -1 -1 1 -1"
"8","Robust D","5","9","-1 -1 1 -1 -1 1 1 1 1 -1 1 1 1 -1 1 -1 1 -1 0.7 -1 1 1 -0.9 -1 -1 1 1 -1 -1 -1 1 0.9 1 -1 1 1 1 -1 1 -1 1 1 -1 1 -1"
"9","Robust D","5","10","-1 -1 -1 -1 1 -1 1 1 -1 1 -1 -1 -1 1 1 1 -1 -1 -1 1 1 -1 -1 1 -1 -1 1 -1 1 1 1 -1 1 -1 1 -1 -1 -1 -1 1 -1 1 -1 -1 1 -1 -1 -1 1 1"
"10","Robust D","5","11","-1 1 1 1 1 1 -1 -1 1 -1 -1 1 1 1 -1 -1 -1 -1 1 1 -1 -1 -1 -1 1 1 1 -1 -1 1 -1 -1 1 1 -1 -1 1 -1 1 -1 1 1 -1 1 1 1 -1 -1 1 1 -1 -1 -1 -1 1"
"11","A","5","7","1 1 -1 -1 1 -1 1 -1 -1 1 -1 1 1 -1 -1 1 1 1 1 -1 1 1 1 1 1 1 -1 -1 1 -1 -1 1 1 -1 1"
"12","A","5","8","-1 1 -1 1 -1 1 1 -1 -1 -1 -1 1 1 -1 1 1 -1 -1 1 1 -1 1 -1 1 1 1 -1 1 -1 -1 -1 1 -1 1 1 -1 -1 -1 1 1"
"13","A","5","9","-1 -1 -1 1 1 1 1 -1 -1 -1 1 1 -1 1 1 -1 -1 -1 -1 1 1 1 -1 -1 1 -1 -1 1 1 -1 -1 1 -1 1 -1 -1 1 1 -1 1 -1 1 -1 -1 -1"
"14","A","5","10","-1 -1 -1 1 -1 1 1 -1 1 1 1 -1 1 -1 1 -1 1 -1 1 1 -1 1 1 -1 -1 1 -1 -1 1 -1 1 -1 1 1 -1 -1 -1 1 1 1 -1 -1 1 1 1 -1 1 1 1 -1"
"15","A","5","11","-1 1 1 1 -1 -1 1 1 1 -1 -1 1 -1 -1 1 -1 1 -1 1 1 -1 -1 -1 -1 -1 1 1 -1 1 1 -1 -1 1 1 -1 1 -1 -1 1 1 1 -1 -1 1 1 1 -1 1 1 1 1 -1 -1 -1 -1"
"16","Robust A","5","7","-0.6 -1 1 -0.9 0.8 1 0.8 -1 1 0.9 -0.4 0.2 -1 0.3 1 -1 -0.3 -0.8 -1 -1 1 -1 -0.5 1 0.7 -1 0.7 0.4 -1 0.9 -1 -0.8 0 0.8 0.9"
"17","Robust A","5","8","1 -1 -1 1 -1 -1 1 1 -1 1 -1 1 1 -1 1 -1 -1 -1 1 -1 1 -1 1 1 -1 1 -1 -1 -1 1 1 1 -1 1 1 1 -1 -1 -1 1"
"18","Robust A","5","9","-1 1 0 1 -1 -1 1 1 -1 -0.8 1 -1 -0.7 -1 1 -1 1 1 1 -1 -1 1 -1 1 -0.9 1 -1 -1 1 -0.2 1 1 1 -1 -1 -1 -1 -1 -1 -1 1 1 1 1 -0.9"
"19","Robust A","5","10","-1 1 1 1 1 -1 1 -1 -1 -1 -1 1 -1 1 -1 -1 -1 1 -1 1 -1 1 1 -1 -1 1 1 -1 1 1 -1 -1 -1 1 -1 -1 1 1 1 -1 -1 -1 1 1 -1 1 -1 1 -1 -1"
"20","Robust A","5","11","1 1 1 -1 1 -1 1 1 -1 -1 -1 -1 1 1 -1 1 -1 -1 -1 1 1 -1 1 -1 1 1 -1 -1 -1 1 -1 1 -1 -1 -1 1 -1 -1 -1 1 1 1 -1 1 -1 1 -1 1 1 -1 -1 1 -1 -1 1"
