"","Criterion","K","N","Design"
"1","D","5","17","1 1 1 1 -1 -1 -1 -1 -1 -1 -1 -1 -1 1 1 1 1 1 -1 1 1 1 -1 1 -1 1 -1 1 -1 -1 -1 1 -1 -1 1 -1 -1 1 1 1 -1 1 -1 -1 1 -1 -1 -1 -1 1 1 -1 1 -1 1 1 -1 1 1 -1 -1 -1 -1 1 -1 1 1 -1 -1 1 1 1 -1 -1 1 1 -1 1 1 -1 -1 -1 -1 -1 1"
"2","D","5","18","1 -1 1 1 -1 -1 -1 1 -1 -1 -1 1 -1 1 -1 1 -1 1 1 -1 1 -1 -1 -1 1 -1 1 1 1 -1 1 1 1 1 -1 -1 -1 -1 -1 1 1 1 -1 -1 -1 1 -1 -1 1 1 -1 1 -1 1 1 1 -1 -1 1 -1 -1 1 1 -1 1 -1 1 1 -1 -1 -1 1 1 1 -1 -1 -1 1 -1 -1 1 -1 -1 1 1 -1 1 1 -1 1"
"3","D","5","19","-1 -1 -1 -1 1 1 -1 1 1 -1 1 1 -1 1 -1 -1 1 1 1 1 1 -1 1 -1 1 -1 -1 -1 -1 1 -1 -1 1 -1 1 1 1 -1 -1 -1 -1 1 -1 -1 1 1 1 1 1 1 -1 -1 -1 1 1 1 -1 -1 1 1 -1 -1 1 1 1 -1 -1 -1 -1 -1 -1 -1 1 1 1 1 1 -1 1 -1 1 1 -1 1 -1 1 1 1 -1 -1 1 1 1 -1 -1"
"4","D","5","20","1 -1 -1 1 1 -1 -1 -1 -1 1 -1 -1 1 1 1 1 1 -1 1 -1 1 -1 1 1 -1 -1 1 1 -1 1 1 -1 -1 1 -1 -1 -1 -1 1 1 -1 1 1 1 1 -1 -1 -1 -1 1 1 1 1 -1 -1 1 -1 -1 1 -1 1 -1 1 -1 1 1 1 1 -1 -1 -1 1 1 -1 -1 -1 1 -1 1 -1 1 1 1 -1 1 1 1 -1 1 1 -1 -1 -1 -1 1 -1 -1 -1 -1 1"
"5","Robust D","5","17","-1 -1 1 -1 1 1 0.9 1 -1 1 -1 -1 1 1 -1 1 -1 1 -1 1 1 -1 1 -0.9 -1 1 1 -1 1 -1 -1 -1 1 -1 1 1 1 -1 -1 -1 1 -1 -1 1 -1 1 1 1 1 -1 -1 1 1 -1 -1 -1 -1 -1 1 0.9 1 -1 -1 1 -1 -1 1 1 1 -1 1 1 0.9 -1 -1 -1 -1 -1 -1 -1 1 1 1 1 1"
"6","Robust D","5","18","-1 1 -1 -1 -1 -1 1 -1 -1 1 1 1 -1 1 1 -1 -1 1 -1 -1 1 1 1 -1 -1 1 -1 1 -1 1 1 1 1 -1 1 -1 1 1 1 -1 -1 -1 1 1 -1 -1 -1 -1 1 1 1 1 1 -1 1 1 1 1 -1 -1 -1 -1 1 1 1 -1 -1 1 -1 -1 1 -1 -1 1 1 -1 1 -1 -1 -1 1 1 -1 -1 1 -1 1 1 -1 1"
"7","Robust D","5","19","-1 -1 -1 1 1 -1 1 1 -1 1 1 -1 0.4 -1 -1 1 -1 1 1 -1 1 1 1 1 -1 1 -1 -1 -1 -1 -1 1 1 1 1 -1 -1 -1 -1 -1 -1 -1 1 1 -1 1 -1 -1 -1 1 1 1 1 1 -1 -1 1 1 1 -1 1 1 1 -1 -1 1 -1 -1 -1 1 -1 -0.4 -1 -1 1 1 -1 1 -1 -1 1 1 1 1 1 1 -1 -1 -1 1 -1 -1 1 1 -1"
"8","Robust D","5","20","-1 1 1 1 1 1 1 1 1 1 -1 -1 -1 -1 1 -1 -1 -1 -1 -1 1 -1 1 -1 -1 1 1 -1 -1 1 -1 -1 -1 -1 1 1 -1 1 1 1 -1 1 1 -1 -1 -1 -1 -1 1 1 -1 -1 1 1 -1 1 1 1 1 -1 -1 -1 1 -1 1 -1 -1 1 1 -1 1 -1 1 -1 1 1 -1 -1 1 1 1 -1 -1 1 -1 1 -1 1 1 1 1 -1 -1 -1 1 -1 1 -1 1 -1"
"9","A","5","17","1 1 -1 -1 -0.8 -1 1 1 -0.9 -0.7 -1 -1 -1 1 -1 1 1 1 1 1 -1 1 -1 1 -1 1 -0.6 -1 -0.9 -1 -1 1 -0.6 -1 -0.1 -1 -1 1 -1 -1 1 -1 1 -1 -1 1 1 1 1 1 -1 1 -1 1 -1 -1 -1 -1 1 -0.7 1 -1 1 -1 1 1 -0.5 -1 0.1 -1 -1 -1 1 1 1 -1 -1 1 -1 -1 1 1 1 -1 1"
"10","A","5","18","1 1 -1 -1 1 -1 -1 -1 1 1 -1 -1 1 -1 1 -1 1 1 1 1 -1 1 1 1 -1 1 -1 1 1 -1 -1 -1 -1 -1 -1 1 -1 1 1 -1 1 1 -1 -1 1 1 1 -1 -1 -1 1 1 -1 -1 -1 1 1 1 -1 1 1 -1 -1 1 -1 1 -1 -1 1 -1 1 1 -1 -1 -1 -1 1 1 -1 1 -1 1 -1 1 1 -1 1 1 -1 1"
